Lk surface

Theta = 0.11459

Maximum at 4Ner(region) = 100.000 : Lk = -19685357.670



4Ner(region)   Pairwise Lk

    0.00  -19822483.460
    1.00  -19807298.703
    2.00  -19793541.584
    3.00  -19782466.530
    4.00  -19773432.537
    5.00  -19765829.505
    6.00  -19759534.447
    7.00  -19754339.718
    8.00  -19749977.969
    9.00  -19746225.847
   10.00  -19742939.907
   11.00  -19740014.386
   12.00  -19737376.372
   13.00  -19734960.365
   14.00  -19732708.035
   15.00  -19730577.906
   16.00  -19728551.678
   17.00  -19726608.071
   18.00  -19724741.247
   19.00  -19722956.537
   20.00  -19721254.751
   21.00  -19719638.553
   22.00  -19718109.324
   23.00  -19716665.945
   24.00  -19715302.531
   25.00  -19714015.388
   26.00  -19712796.128
   27.00  -19711637.242
   28.00  -19710534.545
   29.00  -19709485.407
   30.00  -19708482.622
   31.00  -19707523.210
   32.00  -19706603.940
   33.00  -19705722.722
   34.00  -19704877.258
   35.00  -19704065.755
   36.00  -19703287.148
   37.00  -19702539.550
   38.00  -19701822.656
   39.00  -19701135.980
   40.00  -19700479.077
   41.00  -19699849.604
   42.00  -19699244.996
   43.00  -19698664.787
   44.00  -19698108.445
   45.00  -19697574.872
   46.00  -19697061.903
   47.00  -19696569.127
   48.00  -19696095.081
   49.00  -19695639.046
   50.00  -19695199.877
   51.00  -19694777.490
   52.00  -19694371.333
   53.00  -19693980.680
   54.00  -19693604.757
   55.00  -19693242.947
   56.00  -19692894.407
   57.00  -19692559.698
   58.00  -19692238.109
   59.00  -19691929.058
   60.00  -19691632.026
   61.00  -19691346.245
   62.00  -19691071.029
   63.00  -19690806.036
   64.00  -19690551.078
   65.00  -19690306.050
   66.00  -19690070.037
   67.00  -19689842.823
   68.00  -19689624.005
   69.00  -19689413.252
   70.00  -19689210.425
   71.00  -19689014.874
   72.00  -19688826.060
   73.00  -19688644.010
   74.00  -19688467.978
   75.00  -19688297.884
   76.00  -19688133.203
   77.00  -19687974.067
   78.00  -19687820.095
   79.00  -19687670.922
   80.00  -19687526.432
   81.00  -19687386.379
   82.00  -19687250.544
   83.00  -19687118.486
   84.00  -19686990.245
   85.00  -19686865.791
   86.00  -19686744.808
   87.00  -19686627.517
   88.00  -19686513.422
   89.00  -19686402.425
   90.00  -19686294.406
   91.00  -19686189.186
   92.00  -19686086.876
   93.00  -19685987.376
   94.00  -19685890.314
   95.00  -19685795.577
   96.00  -19685703.347
   97.00  -19685613.527
   98.00  -19685525.936
   99.00  -19685440.600
  100.00  -19685357.670
