Lk surface

Theta = 0.10085

Maximum at 4Ner(region) = 100.000 : Lk = -36156478.560



4Ner(region)   Pairwise Lk

    0.00  -36518104.896
    1.00  -36479839.078
    2.00  -36445659.260
    3.00  -36418843.049
    4.00  -36398403.777
    5.00  -36382017.938
    6.00  -36367945.553
    7.00  -36355344.384
    8.00  -36343832.270
    9.00  -36333311.072
   10.00  -36323691.922
   11.00  -36314884.362
   12.00  -36306788.881
   13.00  -36299329.730
   14.00  -36292434.549
   15.00  -36286025.037
   16.00  -36280056.972
   17.00  -36274501.011
   18.00  -36269309.935
   19.00  -36264463.707
   20.00  -36259929.143
   21.00  -36255682.490
   22.00  -36251698.718
   23.00  -36247955.480
   24.00  -36244424.865
   25.00  -36241084.354
   26.00  -36237914.984
   27.00  -36234904.786
   28.00  -36232038.508
   29.00  -36229301.536
   30.00  -36226681.390
   31.00  -36224169.141
   32.00  -36221757.993
   33.00  -36219444.333
   34.00  -36217221.699
   35.00  -36215085.537
   36.00  -36213030.838
   37.00  -36211051.463
   38.00  -36209144.826
   39.00  -36207308.907
   40.00  -36205540.334
   41.00  -36203833.354
   42.00  -36202185.814
   43.00  -36200595.469
   44.00  -36199060.135
   45.00  -36197575.757
   46.00  -36196139.518
   47.00  -36194749.177
   48.00  -36193402.875
   49.00  -36192098.021
   50.00  -36190833.473
   51.00  -36189606.781
   52.00  -36188416.441
   53.00  -36187261.079
   54.00  -36186139.265
   55.00  -36185050.052
   56.00  -36183991.494
   57.00  -36182962.621
   58.00  -36181962.789
   59.00  -36180990.941
   60.00  -36180045.791
   61.00  -36179126.864
   62.00  -36178233.278
   63.00  -36177363.911
   64.00  -36176518.170
   65.00  -36175695.649
   66.00  -36174895.173
   67.00  -36174116.129
   68.00  -36173357.496
   69.00  -36172618.661
   70.00  -36171899.026
   71.00  -36171198.252
   72.00  -36170515.266
   73.00  -36169849.702
   74.00  -36169200.700
   75.00  -36168567.294
   76.00  -36167948.677
   77.00  -36167344.150
   78.00  -36166753.794
   79.00  -36166177.124
   80.00  -36165613.384
   81.00  -36165062.100
   82.00  -36164522.939
   83.00  -36163995.167
   84.00  -36163478.610
   85.00  -36162972.889
   86.00  -36162477.046
   87.00  -36161991.055
   88.00  -36161515.012
   89.00  -36161048.175
   90.00  -36160590.385
   91.00  -36160141.748
   92.00  -36159701.981
   93.00  -36159271.060
   94.00  -36158848.404
   95.00  -36158434.054
   96.00  -36158027.796
   97.00  -36157629.142
   98.00  -36157238.240
   99.00  -36156854.737
  100.00  -36156478.560
