chromosomes	Rho	Mu	Rho_Mu_Ratio	Category
1	0.0114129830944794	0.000586060108281475	19.4740828341757	Free r Core Regions
2	0.00853856925483693	0.000305004381639983	27.9949068565041	Free r Core Regions
3	0.00483308471046625	0.000293672555012089	16.4573932019875	Free r Core Regions
4	0.00976647260627261	0.000602734403885639	16.2036089914749	Free r Core Regions
5	0.0101788508254477	0.000222890774260996	45.6674389471529	Free r Core Regions
6	0.00634775636416515	0.000215843392772789	29.4090835147648	Free r Core Regions
7	0.00568037516272562	0.000352858710240696	16.0981576984478	Free r Core Regions
8	0.0049273996691296	0.000290781868167674	16.9453470403055	Free r Core Regions
9	0.0050800502267054	0.000254336406361681	19.9737438276189	Free r Core Regions
10	0.00500153888715782	0.00031256868930491	16.0014072371748	Free r Core Regions
11	0.0042316741348886	0.000249921211728161	16.9320327219419	Free r Core Regions
12	0.0143660634213567	0.000193265561342964	74.3332817369519	Free r Core Regions
13	0.00385625064100664	0.000196636335825579	19.6110786178767	Free r Core Regions
14	0.00411884508171322	0.000219600782234041	18.7560583337246	Free r Core Regions
01	0.00544395493369568	0.00135418626764857	4.02009314652752	Free r Full Chromosome
02	0.00456518266453561	0.000974001231009656	4.68703993300225	Free r Full Chromosome
03	0.00387807501360774	0.000717516011941293	5.40486198087109	Free r Full Chromosome
04	0.00605041597964933	0.0014007099674031	4.31953517891127	Free r Full Chromosome
05	0.0028537663848387	0.000366695331927535	7.78239081975182	Free r Full Chromosome
06	0.00335402408400628	0.000579056419984394	5.79222329336522	Free r Full Chromosome
07	0.00425502365491166	0.00102729034008026	4.14198740988766	Free r Full Chromosome
08	0.00258660553146125	0.000753460280628066	3.43296866200448	Free r Full Chromosome
09	0.0031893514807982	0.000606160774017373	5.26156032773376	Free r Full Chromosome
10	0.0029472302879413	0.000722310115734991	4.08028383340905	Free r Full Chromosome
11	0.0030413975523863	0.000479292210591072	6.34560187956235	Free r Full Chromosome
12	0.00330352590450031	0.000647385367168113	5.10287391720185	Free r Full Chromosome
13	0.00278172506244856	0.000342072072572953	8.13198529048379	Free r Full Chromosome
14	0.00262013140981068	0.00028411427076151	9.22210420049634	Free r Full Chromosome
allchr	0.00339543011045628	0.000721485470069474	4.70616561429757	Free r Full Chromosome
