Individual	distances	assgn_clus	Initial_SiteCountry	Study	Site	Country	Year	ENA	Population	QC_pass	Fws	Artemisinin	SiteCountry
PD0461-C	0.948235673044562	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164731	WSEA	True	0.99850667	Sensitive	MaeSot_Thailand
PD0462-C	1.61205865466335	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164726	WSEA	True	0.999409	Resistant	MaeSot_Thailand
PD0467-C	1.69188308483142	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164725	WSEA	True	0.99931496	Sensitive	MaeSot_Thailand
PD0470-C	0.49572311651443	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164729	WSEA	True	0.99844253	Resistant	MaeSot_Thailand
PD0471-C	1.27203686223828	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164730	WSEA	True	0.9990087	Resistant	MaeSot_Thailand
PD0472-C	0.86620725470615	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164713	WSEA	True	0.9979894	Sensitive	MaeSot_Thailand
PD0473-C	0.357062518967282	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164723	WSEA	True	0.97468674	Resistant	MaeSot_Thailand
PD0474-C	0.959890263042948	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164727	WSEA	True	0.99895453	Sensitive	MaeSot_Thailand
PD0475-C	1.34208443145435	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164734	WSEA	True	0.98888654	Sensitive	MaeSot_Thailand
PD0476-C	0.782397138763488	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164740	WSEA	True	0.9969743	Sensitive	MaeSot_Thailand
PD0477-C	0.383910975825317	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164711	WSEA	True	0.9981184	Resistant	MaeSot_Thailand
PD0478-C	1.3664094371716	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164724	WSEA	True	0.9981794	Resistant	MaeSot_Thailand
PD0480-C	1.53790879709085	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164712	WSEA	True	0.996088	Resistant	MaeSot_Thailand
PD0481-C	1.19949369606586	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164698	WSEA	True	0.9989212	Resistant	MaeSot_Thailand
PD0483-C	1.27756498975672	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164717	WSEA	True	0.99911755	Sensitive	MaeSot_Thailand
PD0487-C	0.955885986938166	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164699	WSEA	True	0.9992935	Resistant	MaeSot_Thailand
PD0488-C	1.53690139522341	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164701	WSEA	True	0.9987687	Sensitive	MaeSot_Thailand
PD0490-C	1.76923658278499	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164702	WSEA	True	0.99971986	Sensitive	MaeSot_Thailand
PD0495-C	0.777094117580532	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164735	WSEA	True	0.9857728	Resistant	MaeSot_Thailand
PD0496-C	0.448934609903444	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164715	WSEA	True	0.9994399	Resistant	MaeSot_Thailand
PD0497-C	0.334323305033621	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164719	WSEA	True	0.99893314	Resistant	MaeSot_Thailand
PD0503-C	1.39021271808009	4	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR164718	WSEA	True	0.9998049	Resistant	Ranong_Thailand
PD0505-C	2.54251902517218	1	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR164697	WSEA	True	0.998282	Resistant	Ranong_Thailand
PD0507-C	1.17281438747693	4	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR164722	WSEA	True	0.9955498	Sensitive	Ranong_Thailand
PD0508-C	2.54204181297026	1	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR164696	WSEA	True	0.9979964	Resistant	Ranong_Thailand
PD0509-Cx2	2.43330890474974	1	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR388789	WSEA	True	0.99818444	Resistant	Ranong_Thailand
PD0510-C	1.30749201542893	4	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR164733	WSEA	True	0.99355555	Resistant	Ranong_Thailand
PD0511-C	1.72727931989473	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR221489	WSEA	True	0.99828	Sensitive	MaeSot_Thailand
PD0512-C	1.00850655926968	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR221490	WSEA	True	0.9979053	Resistant	MaeSot_Thailand
PD0513-C	0.976085180673681	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR216502	WSEA	True	0.99889916	Resistant	MaeSot_Thailand
PD0514-C	0.728851618843755	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR221491	WSEA	True	0.9981549	Resistant	MaeSot_Thailand
PD0516-C	1.15577228470655	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216503	WSEA	True	0.9992053	Resistant	MaeSot_Thailand
PD0518-C	1.50911293593054	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216505	WSEA	True	0.99694383	Resistant	MaeSot_Thailand
PD0520-C	0.918178175910733	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221494	WSEA	True	0.9996241	Resistant	MaeSot_Thailand
PD0521-C	1.42918614721131	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216506	WSEA	True	0.9997471	Resistant	MaeSot_Thailand
PD0522-C	1.49197286086562	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216507	WSEA	True	0.9991003	Resistant	MaeSot_Thailand
PD0523-C	1.45616621683396	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221495	WSEA	True	0.99993455	Resistant	MaeSot_Thailand
PD0524-C	1.11338127126084	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221496	WSEA	True	0.9781233	Sensitive	MaeSot_Thailand
PD0525-C	1.45949619884559	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221497	WSEA	True	0.99948406	Resistant	MaeSot_Thailand
PD0528-C	1.49123088915646	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221499	WSEA	True	0.9998138	Resistant	MaeSot_Thailand
PD0529-C	0.837061848772744	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221500	WSEA	True	0.9984361	Resistant	MaeSot_Thailand
PD0530-C	1.36320913607702	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221501	WSEA	True	0.9993415	Resistant	MaeSot_Thailand
PD0532-C	0.869173146648188	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221502	WSEA	True	0.9995655	Sensitive	MaeSot_Thailand
PD0533-C	1.64216551277402	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216510	WSEA	True	0.9987243	Resistant	MaeSot_Thailand
PD0535-C	0.756937882216149	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221503	WSEA	True	0.99997467	Resistant	MaeSot_Thailand
PD0539-C	1.21691102319418	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221505	WSEA	True	0.9986409	Resistant	MaeSot_Thailand
PD0540-C	1.08500191731976	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221506	WSEA	True	0.9590827	Resistant	MaeSot_Thailand
PD0541-C	0.960764938580172	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221507	WSEA	True	0.9974629	Sensitive	MaeSot_Thailand
PD0543-C	0.846726147350864	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221508	WSEA	True	0.9973175	Sensitive	MaeSot_Thailand
PD0544-C	0.866936312998477	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221509	WSEA	True	0.9992162	Sensitive	MaeSot_Thailand
