Sample	Study	Site	Country	Year	ENA	Population	QC_pass	Fws	Artemisinin	SiteCountry
PD0459-Cx	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR388738	WSEA	True	0.99195206	Resistant	MaeSot_Thailand
PD0461-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164731	WSEA	True	0.99850667	Sensitive	MaeSot_Thailand
PD0462-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164726	WSEA	True	0.999409	Resistant	MaeSot_Thailand
PD0467-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164725	WSEA	True	0.99931496	Sensitive	MaeSot_Thailand
PD0470-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164729	WSEA	True	0.99844253	Resistant	MaeSot_Thailand
PD0471-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164730	WSEA	True	0.9990087	Resistant	MaeSot_Thailand
PD0472-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164713	WSEA	True	0.9979894	Sensitive	MaeSot_Thailand
PD0473-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164723	WSEA	True	0.97468674	Resistant	MaeSot_Thailand
PD0474-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164727	WSEA	True	0.99895453	Sensitive	MaeSot_Thailand
PD0475-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164734	WSEA	True	0.98888654	Sensitive	MaeSot_Thailand
PD0476-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164740	WSEA	True	0.9969743	Sensitive	MaeSot_Thailand
PD0477-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164711	WSEA	True	0.9981184	Resistant	MaeSot_Thailand
PD0478-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164724	WSEA	True	0.9981794	Resistant	MaeSot_Thailand
PD0480-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164712	WSEA	True	0.996088	Resistant	MaeSot_Thailand
PD0481-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164698	WSEA	True	0.9989212	Resistant	MaeSot_Thailand
PD0483-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164717	WSEA	True	0.99911755	Sensitive	MaeSot_Thailand
PD0487-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164699	WSEA	True	0.9992935	Resistant	MaeSot_Thailand
PD0488-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164701	WSEA	True	0.9987687	Sensitive	MaeSot_Thailand
PD0490-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR164702	WSEA	True	0.99971986	Sensitive	MaeSot_Thailand
PD0494-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164714	WSEA	True	1	Sensitive	MaeSot_Thailand
PD0495-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164735	WSEA	True	0.9857728	Resistant	MaeSot_Thailand
PD0496-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164715	WSEA	True	0.9994399	Resistant	MaeSot_Thailand
PD0497-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR164719	WSEA	True	0.99893314	Resistant	MaeSot_Thailand
PD0498-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2011	ERR164720	ESEA	True	0.9999381	Resistant	Sisakhet_Thailand
PD0500-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2011	ERR164693	ESEA	True	0.9987314	Resistant	Sisakhet_Thailand
PD0501-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2011	ERR164710	ESEA	True	0.99895924	Resistant	Sisakhet_Thailand
PD0502-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2011	ERR164721	ESEA	True	0.99978673	Resistant	Sisakhet_Thailand
PD0503-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR164718	WSEA	True	0.9998049	Resistant	Ranong_Thailand
PD0504-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR164694	WSEA	True	0.99803036	Resistant	Ranong_Thailand
PD0505-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR164697	WSEA	True	0.998282	Resistant	Ranong_Thailand
PD0506-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR164709	WSEA	True	0.99732524	Resistant	Ranong_Thailand
PD0507-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR164722	WSEA	True	0.9955498	Sensitive	Ranong_Thailand
PD0508-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR164696	WSEA	True	0.9979964	Resistant	Ranong_Thailand
PD0509-Cx2	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR388789	WSEA	True	0.99818444	Resistant	Ranong_Thailand
PD0510-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR164733	WSEA	True	0.99355555	Resistant	Ranong_Thailand
PD0511-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR221489	WSEA	True	0.99828	Sensitive	MaeSot_Thailand
PD0512-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR221490	WSEA	True	0.9979053	Resistant	MaeSot_Thailand
PD0513-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR216502	WSEA	True	0.99889916	Resistant	MaeSot_Thailand
PD0514-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR221491	WSEA	True	0.9981549	Resistant	MaeSot_Thailand
PD0516-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216503	WSEA	True	0.9992053	Resistant	MaeSot_Thailand
PD0518-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216505	WSEA	True	0.99694383	Resistant	MaeSot_Thailand
PD0520-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221494	WSEA	True	0.9996241	Resistant	MaeSot_Thailand
PD0521-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216506	WSEA	True	0.9997471	Resistant	MaeSot_Thailand
PD0522-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216507	WSEA	True	0.9991003	Resistant	MaeSot_Thailand
PD0523-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221495	WSEA	True	0.99993455	Resistant	MaeSot_Thailand
PD0524-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221496	WSEA	True	0.9781233	Sensitive	MaeSot_Thailand
PD0525-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221497	WSEA	True	0.99948406	Resistant	MaeSot_Thailand
