sample	chrom	co_pos_mid	co_pos_min	co_pos_max	co_pos_range	cross	co_from_parent	co_to_parent
B1SD/PG0015-C/ERR019044	b'Pf3D7_01_v3'	145052	144877	145227	350	hb3_dd2	hb3	dd2
GC03/PG0021-C/ERR015447	b'Pf3D7_01_v3'	163584	163145	164024	879	hb3_dd2	dd2	hb3
XF12/PG0102-C/ERR029143	b'Pf3D7_01_v3'	206769	205803	207736	1933	7g8_gb4	gb4	7g8
7C159/PG0040-Cx/ERR107475	b'Pf3D7_01_v3'	206905	206074	207736	1662	hb3_dd2	hb3	dd2
CH3_61/PG0033-Cx/ERR175544	b'Pf3D7_01_v3'	206905	206074	207736	1662	hb3_dd2	dd2	hb3
NIC/PG0095-CW/ERR045631	b'Pf3D7_01_v3'	232637	230219	235056	4837	7g8_gb4	7g8	gb4
C04/PG0061-C/ERR019059	b'Pf3D7_01_v3'	287370	286863	287878	1015	3d7_hb3	hb3	3d7
TC08/PG0020-C/ERR019052	b'Pf3D7_01_v3'	314039	313904	314174	270	hb3_dd2	dd2	hb3
XD8/PG0105-C/ERR029144	b'Pf3D7_01_v3'	317258	316513	318003	1490	7g8_gb4	gb4	7g8
C12/PG0058-C/ERR019063	b'Pf3D7_01_v3'	323233	322254	324213	1959	3d7_hb3	3d7	hb3
C04/PG0061-C/ERR019059	b'Pf3D7_01_v3'	323773	323333	324213	880	3d7_hb3	3d7	hb3
GC03/PG0021-C/ERR015447	b'Pf3D7_01_v3'	324136	324060	324213	153	hb3_dd2	hb3	dd2
7C46/PG0046-Cx/ERR107476	b'Pf3D7_01_v3'	332020	330720	333320	2600	hb3_dd2	hb3	dd2
C02/PG0067-C/ERR019073	b'Pf3D7_01_v3'	344328	343596	345060	1464	3d7_hb3	3d7	hb3
7C126/PG0047-C/ERR015452	b'Pf3D7_01_v3'	392355	392220	392491	271	hb3_dd2	hb3	dd2
C04/PG0061-C/ERR019059	b'Pf3D7_01_v3'	398629	398369	398889	520	3d7_hb3	hb3	3d7
AUD/PG0112-C/ERR029406	b'Pf3D7_01_v3'	405139	403876	406402	2526	7g8_gb4	gb4	7g8
QF5/PG0078-C/ERR029092	b'Pf3D7_01_v3'	406550	406402	406699	297	7g8_gb4	7g8	gb4
7C20/PG0037-C/ERR015451	b'Pf3D7_01_v3'	408454	406699	410209	3510	hb3_dd2	hb3	dd2
QC23/PG0045-C/ERR012892	b'Pf3D7_01_v3'	414419	413662	415176	1514	hb3_dd2	hb3	dd2
WF12/PG0097-C/ERR027109	b'Pf3D7_01_v3'	432222	430948	433497	2549	7g8_gb4	7g8	gb4
XE7/PG0106-C/ERR029407	b'Pf3D7_01_v3'	548080	545714	550447	4733	7g8_gb4	7g8	gb4
NIC/PG0095-CW/ERR045631	b'Pf3D7_01_v3'	551008	550447	551570	1123	7g8_gb4	gb4	7g8
