Loci	Mean_rho	Median	L95	U95
    -1.000	1578.21221	1675.76263	 274.76479	1790.68891
    35.821	   2.39265	   2.77915	   0.01939	   3.79226
    35.827	   2.20087	   2.72454	   0.03712	   3.79226
    35.842	   2.08733	   2.72454	   0.00825	   3.79226
    35.933	   2.20443	   2.72454	   0.04917	   3.79226
    36.105	   2.10554	   2.72454	   0.02329	   3.79226
    36.124	   2.44878	   2.78796	   0.12832	   3.86803
    36.812	   2.15689	   2.72454	   0.07166	   3.79226
    36.866	   2.16225	   2.72454	   0.03072	   3.79226
    37.109	   2.12423	   2.72454	   0.07104	   3.79226
    37.465	   2.11122	   2.72454	   0.02827	   3.79226
    37.568	   2.84088	   2.92005	   0.14080	   5.94698
    37.831	   2.10114	   2.72454	   0.01624	   3.79226
    38.221	   3.10495	   2.96171	   0.03072	   8.14406
    38.459	   2.11266	   2.72454	   0.00731	   3.79226
    38.512	   2.11558	   2.72454	   0.01453	   3.79226
    38.600	   2.21371	   2.72454	   0.08218	   3.79226
    38.636	   2.15895	   2.72454	   0.04617	   3.79226
    38.701	   2.17139	   2.72454	   0.09450	   3.79226
    38.734	   2.14851	   2.72454	   0.03072	   3.79226
    38.737	   2.11471	   2.72454	   0.01845	   3.79226
    38.741	   2.66934	   2.92005	   0.14529	   4.09379
    39.571	   2.33021	   2.75632	   0.03072	   3.79226
    39.666	   2.23473	   2.72454	   0.06269	   3.79226
    39.855	   2.17135	   2.72454	   0.01695	   3.79226
    39.964	   2.07710	   2.72454	   0.00286	   3.79226
    40.006	   2.35265	   2.75632	   0.10491	   3.85545
    40.135	   2.41009	   2.75632	   0.30970	   3.79226
    41.722	   1.95839	   2.19101	   0.03072	   3.58953
    41.931	   1.56649	   1.55424	   0.03072	   3.39609
    42.307	   1.25427	   0.52488	   0.02501	   3.18236
    42.557	   1.21651	   0.52488	   0.06643	   3.35982
    44.546	   0.97281	   0.51597	   0.01593	   2.81923
    44.588	   0.85804	   0.50165	   0.00707	   2.80238
    44.943	   0.82158	   0.49313	   0.02815	   2.80238
    45.271	   0.83490	   0.50165	   0.05531	   2.80238
    45.755	   0.85233	   0.51306	   0.01154	   2.80238
    46.269	   1.06763	   0.51385	   0.12793	   2.95655
    46.364	   1.56583	   0.52650	   0.03596	   4.94177
    46.933	   0.79975	   0.51199	   0.03072	   2.38646
    47.725	   0.60376	   0.47991	   0.20909	   1.91397
    51.534	   0.42804	   0.46274	   0.02053	   1.45106
    51.988	   0.41598	   0.46274	   0.01682	   0.61964
    52.504	   0.44472	   0.46590	   0.01880	   1.25622
    53.094	   0.72447	   0.48786	   0.03248	   3.29213
    53.700	   0.63965	   0.48964	   0.11222	   1.99479
    54.272	   0.51026	   0.47801	   0.20734	   1.05056
    56.782	   0.38969	   0.46274	   0.01744	   0.59810
    56.858	   0.57155	   0.48506	   0.01064	   1.64651
    57.185	   0.45465	   0.47348	   0.03473	   0.79059
    57.711	   0.60919	   0.47991	   0.06420	   2.66126
    59.386	   0.49457	   0.46859	   0.06904	   0.97097
    60.872	   0.42201	   0.46274	   0.03033	   0.60252
    61.071	   0.39352	   0.45789	   0.02593	   0.59810
    61.344	   0.40050	   0.46274	   0.02528	   0.60252
    61.382	   0.53525	   0.47801	   0.06997	   1.19442
