Individual	Chromosome	Missing_Sites	Missing_Count	Missing_Percentage
PH0502-C chr01 640851 76000 0.118592
PH0508-C chr01 640851 64158 0.100114
PH0517-C chr01 640851 66725 0.104119
PH0640-C chr01 640851 65104 0.10159
PH0644-C chr01 640851 68345 0.106647
PH0727-C chr01 640851 158507 0.247338
PH0737-C chr01 640851 99767 0.155679
PH0754-C chr01 640851 95785 0.149465
PH0790-C chr01 640851 102893 0.160557
PH0807-C chr01 640851 118447 0.184828
PH0879-C chr01 640851 56180 0.0876647
PV0254-C chr01 640851 60159 0.0938736
PV0265-C chr01 640851 84084 0.131207
PV0287-C chr01 640851 68414 0.106755
PV0296-C chr01 640851 70547 0.110083
PV0311-C chr01 640851 56958 0.0888787
PV0333-C chr01 640851 51497 0.0803572
PH0502-C chr02 947102 66935 0.0706735
PH0508-C chr02 947102 55437 0.0585333
PH0517-C chr02 947102 75250 0.0794529
PH0640-C chr02 947102 67573 0.0713471
PH0644-C chr02 947102 67371 0.0711338
PH0727-C chr02 947102 197454 0.208482
PH0737-C chr02 947102 103924 0.109728
PH0754-C chr02 947102 97088 0.102511
PH0790-C chr02 947102 83978 0.0886684
PH0807-C chr02 947102 103417 0.109193
PH0879-C chr02 947102 49623 0.0523946
PV0254-C chr02 947102 67507 0.0712774
PV0265-C chr02 947102 71478 0.0754702
PV0287-C chr02 947102 81659 0.0862199
PV0296-C chr02 947102 77448 0.0817737
PV0311-C chr02 947102 53171 0.0561407
PV0333-C chr02 947102 58887 0.062176
PH0502-C chr03 1067971 81794 0.0765882
PH0508-C chr03 1067971 65485 0.0613172
PH0517-C chr03 1067971 64528 0.0604211
PH0640-C chr03 1067971 69713 0.0652761
PH0644-C chr03 1067971 60824 0.0569529
PH0727-C chr03 1067971 215589 0.201868
PH0737-C chr03 1067971 116077 0.108689
PH0754-C chr03 1067971 94638 0.0886148
PH0790-C chr03 1067971 98912 0.0926167
PH0807-C chr03 1067971 118700 0.111145
PH0879-C chr03 1067971 50020 0.0468365
PV0254-C chr03 1067971 55177 0.0516653
PV0265-C chr03 1067971 85948 0.0804778
PV0287-C chr03 1067971 73411 0.0687388
PV0296-C chr03 1067971 78600 0.0735975
PV0311-C chr03 1067971 48744 0.0456417
PV0333-C chr03 1067971 63303 0.0592741
PH0502-C chr04 1200490 144354 0.120246
PH0508-C chr04 1200490 144145 0.120072
PH0517-C chr04 1200490 139997 0.116617
PH0640-C chr04 1200490 133300 0.111038
PH0644-C chr04 1200490 137810 0.114795
PH0727-C chr04 1200490 296253 0.246777
PH0737-C chr04 1200490 185776 0.15475
PH0754-C chr04 1200490 163444 0.136148
PH0790-C chr04 1200490 166662 0.138828
PH0807-C chr04 1200490 190663 0.158821
PH0879-C chr04 1200490 120418 0.100307
PV0254-C chr04 1200490 129363 0.107758
PV0265-C chr04 1200490 159669 0.133003
PV0287-C chr04 1200490 136133 0.113398
PV0296-C chr04 1200490 156075 0.130009
PV0311-C chr04 1200490 122370 0.101933
PV0333-C chr04 1200490 116129 0.0967347
PH0502-C chr05 1343557 57096 0.0424962
PH0508-C chr05 1343557 49639 0.036946
PH0517-C chr05 1343557 62395 0.0464402
PH0640-C chr05 1343557 51032 0.0379828
PH0644-C chr05 1343557 53161 0.0395674
PH0727-C chr05 1343557 239757 0.178449
PH0737-C chr05 1343557 88659 0.0659883
PH0754-C chr05 1343557 69706 0.0518817
PH0790-C chr05 1343557 74160 0.0551968
PH0807-C chr05 1343557 93014 0.0692297
PH0879-C chr05 1343557 47296 0.0352021
PV0254-C chr05 1343557 48000 0.0357261
PV0265-C chr05 1343557 58183 0.0433052
PV0287-C chr05 1343557 78756 0.0586175
PV0296-C chr05 1343557 60697 0.0451763
PV0311-C chr05 1343557 47256 0.0351723
PV0333-C chr05 1343557 47876 0.0356338
PH0502-C chr06 1418242 121158 0.0854283
PH0508-C chr06 1418242 99750 0.0703336
PH0517-C chr06 1418242 109584 0.0772675
PH0640-C chr06 1418242 97923 0.0690453
PH0644-C chr06 1418242 99997 0.0705077
PH0727-C chr06 1418242 309244 0.218047
PH0737-C chr06 1418242 151341 0.10671
PH0754-C chr06 1418242 144629 0.101978
PH0790-C chr06 1418242 141523 0.0997876
PH0807-C chr06 1418242 169767 0.119702
PH0879-C chr06 1418242 93289 0.0657779
PV0254-C chr06 1418242 100966 0.071191
PV0265-C chr06 1418242 127010 0.0895545
PV0287-C chr06 1418242 116711 0.0822927
PV0296-C chr06 1418242 120717 0.0851173
PV0311-C chr06 1418242 81218 0.0572667
PV0333-C chr06 1418242 89839 0.0633453
PH0502-C chr07 1445207 116263 0.0804473
PH0508-C chr07 1445207 104293 0.0721647
PH0517-C chr07 1445207 110506 0.0764638
PH0640-C chr07 1445207 109199 0.0755594
PH0644-C chr07 1445207 109161 0.0755331
PH0727-C chr07 1445207 297949 0.206164
PH0737-C chr07 1445207 155857 0.107844
PH0754-C chr07 1445207 144350 0.0998819
PH0790-C chr07 1445207 138951 0.0961461
PH0807-C chr07 1445207 160628 0.111145
PH0879-C chr07 1445207 89484 0.0619178
PV0254-C chr07 1445207 96330 0.0666548
PV0265-C chr07 1445207 117581 0.0813593
PV0287-C chr07 1445207 113518 0.0785479
PV0296-C chr07 1445207 115162 0.0796855
PV0311-C chr07 1445207 91472 0.0632934
PV0333-C chr07 1445207 90165 0.062389
PH0502-C chr08 1472805 77440 0.0525799
PH0508-C chr08 1472805 72832 0.0494512
PH0517-C chr08 1472805 77470 0.0526003
PH0640-C chr08 1472805 73720 0.0500541
PH0644-C chr08 1472805 74483 0.0505722
PH0727-C chr08 1472805 289248 0.196393
PH0737-C chr08 1472805 133289 0.0905001
PH0754-C chr08 1472805 108218 0.0734775
PH0790-C chr08 1472805 117317 0.0796555
PH0807-C chr08 1472805 136051 0.0923754
PH0879-C chr08 1472805 66123 0.044896
PV0254-C chr08 1472805 83164 0.0564664
PV0265-C chr08 1472805 95511 0.0648497
PV0287-C chr08 1472805 110711 0.0751702
PV0296-C chr08 1472805 93853 0.063724
PV0311-C chr08 1472805 67768 0.0460129
PV0333-C chr08 1472805 66245 0.0449788
PH0502-C chr09 1541735 79056 0.0512773
PH0508-C chr09 1541735 65382 0.0424081
PH0517-C chr09 1541735 74440 0.0482833
PH0640-C chr09 1541735 61651 0.0399881
PH0644-C chr09 1541735 69789 0.0452665
PH0727-C chr09 1541735 295810 0.191868
PH0737-C chr09 1541735 124128 0.0805119
PH0754-C chr09 1541735 105834 0.068646
PH0790-C chr09 1541735 101474 0.0658181
PH0807-C chr09 1541735 125028 0.0810956
PH0879-C chr09 1541735 57708 0.0374306
PV0254-C chr09 1541735 59186 0.0383892
PV0265-C chr09 1541735 87024 0.0564455
PV0287-C chr09 1541735 97768 0.0634143
PV0296-C chr09 1541735 82966 0.0538134
PV0311-C chr09 1541735 57577 0.0373456
PV0333-C chr09 1541735 53311 0.0345786
PH0502-C chr10 1687656 104660 0.062015
PH0508-C chr10 1687656 85851 0.05087
PH0517-C chr10 1687656 95621 0.0566591
PH0640-C chr10 1687656 87203 0.0516711
PH0644-C chr10 1687656 96770 0.0573399
PH0727-C chr10 1687656 321577 0.190547
PH0737-C chr10 1687656 153505 0.0909575
PH0754-C chr10 1687656 130180 0.0771366
PH0790-C chr10 1687656 127649 0.0756369
PH0807-C chr10 1687656 161053 0.09543
PH0879-C chr10 1687656 79321 0.0470007
PV0254-C chr10 1687656 88628 0.0525154
PV0265-C chr10 1687656 109202 0.0647063
