
Sliding windows analysis - rho for total gene = 0.03079 per bp/kb

SNP_L	 SNP_R	 #SNPs	4Ner/bp/kb	 CLR	  Tajima's D

     39.44	      0.00	   0	  -0.00000	      0.00	      -nan
     39.44	      0.00	   0	  -0.00000	      0.00	      -nan
     66.31	     66.52	   2	  37.55869	    470.79	    -0.342
    100.88 -     100.88 : no data
    131.20	    134.04	   2	   4.22089	    985.69	    -1.464
    164.83	    166.41	   5	   8.22785	   1201.83	    -1.511
    201.42	    196.19	   0	  -2.10446	   1619.46	      -nan
    230.94	    231.67	   2	  12.44813	   2124.80	    -1.164
    264.62 -     264.62 : no data
    298.16	    294.27	   0	  -2.05392	   2605.41	      -nan
    330.03	    330.25	   3	  37.03704	   2957.12	    -0.739
    361.02 -     361.02 : no data
    394.84	    396.05	   2	   5.78035	   4112.80	     0.555
    428.22 -     428.22 : no data
    462.70	    457.08	   0	  -1.06800	   4759.78	      -nan
    494.38 -     494.38 : no data
    524.42	    524.84	   2	  11.93317	   5502.74	     0.020
    561.41	    555.14	   0	  -0.63765	   5971.42	      -nan
    591.76 -     591.76 : no data
    625.31	    625.64	   2	  12.08459	   6496.56	    -1.158
    656.71	    658.03	   2	   2.27273	   6970.10	     0.385
    689.60 -     689.60 : no data
    721.21	    722.47	   4	   2.39044	   7732.25	    -0.240
    755.73	    755.97	   2	  12.76596	   8222.56	    -1.024
    787.85 -     787.85 : no data
    822.89	    817.83	   0	  -0.39471	   8891.93	      -nan
    853.74 -     853.74 : no data
    885.93 -     885.93 : no data
    917.76	    919.65	   5	   1.58395	   9773.38	    -1.348
    951.23 -     951.23 : no data
    990.14	    974.83	   0	  -0.13065	  10032.46	      -nan
   1022.94	   1012.66	   0	  -0.19455	  10301.15	      -nan
   1052.71	   1047.09	   0	  -0.35556	  10510.24	      -nan
   1086.28	   1079.51	   0	  -0.29555	  10501.54	      -nan
   1120.95	   1112.57	   0	  -0.23869	  10790.86	      -nan
   1152.27	   1146.78	   0	  -0.36423	  11295.58	      -nan
   1180.52	   1182.72	   3	   0.90950	  11683.57	    -1.021
   1216.71	   1211.51	   0	  -0.38491	  11879.50	      -nan
   1249.17	   1240.44	   0	  -0.22907	  12339.04	      -nan
   1278.27	   1279.54	   4	   1.57853	  12755.90	    -1.485
   1311.21	   1313.00	   5	   1.11607	  12936.03	    -0.573
   1344.80	   1345.03	   3	   8.81057	  13241.15	    -0.943
   1381.83	   1367.22	   0	  -0.06847	  13472.00	      -nan
   1410.99 -    1410.99 : no data
   1451.37	   1439.59	   0	  -0.08487	  13790.45	      -nan
   1475.90 -    1475.90 : no data
   1518.25	   1505.60	   0	  -0.07901	  14041.17	      -nan
   1540.39	   1542.33	   4	   0.51653	  14063.73	    -0.255
   1574.89 -    1574.89 : no data
   1608.80 -    1608.80 : no data
   1640.00	   1641.15	   2	   0.86957	  14358.55	    -0.737
   1671.54 -    1671.54 : no data
   1704.78 -    1704.78 : no data
   1737.08 -    1737.08 : no data
   1770.83 -    1770.83 : no data
   1803.49 -    1803.49 : no data
   1835.68	   1838.07	   5	   1.25576	  13743.91	    -1.318
   1874.34	   1864.57	   0	  -0.20479	  13780.98	      -nan
   1904.69	   1900.67	   0	  -0.74553	  13724.24	      -nan
   1934.84	   1936.52	   6	   1.19261	  13719.96	     1.077
   1967.74 -    1967.74 : no data
   2002.38	   1997.59	   0	  -0.41789	  13903.51	      -nan
   2035.38	   2027.75	   0	  -0.13094	  13641.72	      -nan
   2065.08 -    2065.08 : no data
   2097.96 -    2097.96 : no data
   2132.86 -    2132.86 : no data
   2163.13	   2164.22	   2	   0.91491	  13681.67	     2.000
   2196.37 -    2196.37 : no data
   2229.63 -    2229.63 : no data
   2263.20 -    2263.20 : no data
   2299.94	   2293.04	   0	  -0.00000	  13425.99	      -nan
   2335.52	   2325.68	   0	  -0.00000	  13289.51	      -nan
   2359.87 -    2359.87 : no data
   2395.75	   2389.18	   0	  -0.00000	  12874.42	      -nan
   2427.55 -    2427.55 : no data
   2471.08	   2457.78	   0	  -0.00000	  12538.36	      -nan
   2493.62 -    2493.62 : no data
   2524.15	   2524.97	   2	   0.00000	  12199.16	     0.359
   2560.79	   2555.77	   0	  -0.00000	  11444.30	      -nan
   2589.17 -    2589.17 : no data
   2622.45	   2623.71	   2	   0.00000	  10985.44	    -0.890
   2656.49 -    2656.49 : no data
   2687.55 -    2687.55 : no data
   2728.44	   2719.13	   0	  -0.00000	   9786.21	      -nan
   2753.32	   2755.14	   3	   0.55096	   9417.25	    -0.208
   2788.16	   2788.58	   2	   2.40964	   9143.10	    -1.164
   2820.26 -    2820.26 : no data
   2852.92	   2853.11	   2	   5.05051	   8705.16	    -1.464
   2884.26	   2884.51	   2	   4.01606	   8070.61	    -1.024
   2916.86	   2917.99	   4	   1.76523	   7879.47	    -1.205
   2951.93	   2952.03	   2	  19.80198	   7297.90	    -1.158
   2985.11 -    2985.11 : no data
   3015.53	   3017.03	   4	   2.67023	   6154.07	     0.135
   3048.12	   3050.40	   2	   2.18723	   5392.59	    -1.311
   3082.38	   3082.70	   3	  18.40491	   5118.58	    -0.349
   3118.07	   3113.00	   0	  -1.37958	   4108.57	      -nan
   3147.28	   3148.57	   5	   6.20155	   2476.93	    -0.570
   3192.23	   3168.95	   0	  -0.34358	   1469.71	      -nan
   3213.57	   3214.37	   5	  10.00000	   1118.13	     0.446
   3247.49	   3247.59	   2	  64.51613	     55.25	    -0.763
