Loci	Mean_rho	Median	L95	U95
     0	1530.26324	1595.38593	 323.52717	1745.35303
     1	   0.84810	   0.73730	   0.03066	   2.02973
     2	   0.63575	   0.71652	   0.01191	   1.33100
     3	   0.63582	   0.71652	   0.01506	   1.33100
     4	   0.66709	   0.71264	   0.02741	   1.33100
     5	   0.73466	   0.72358	   0.07553	   1.33100
     6	   0.71200	   0.72264	   0.00669	   1.35771
     7	   0.63284	   0.71264	   0.01197	   1.33100
     8	   0.74581	   0.72264	   0.05860	   1.35771
     9	   0.67152	   0.71652	   0.02252	   1.35771
    10	   0.70076	   0.71652	   0.06824	   1.33100
    11	   0.63708	   0.71264	   0.02423	   1.33100
    12	   0.71772	   0.72220	   0.02491	   1.43452
    13	   0.66391	   0.71264	   0.04850	   1.33100
    14	   0.77257	   0.72688	   0.07890	   1.94653
    15	   0.80646	   0.73533	   0.04113	   1.54139
    16	   0.68854	   0.71434	   0.03746	   1.33100
    17	   0.64520	   0.71264	   0.00420	   1.33100
    18	   0.83852	   0.74795	   0.09439	   1.54139
    19	   0.74265	   0.72688	   0.06558	   1.33100
    20	   0.76694	   0.72912	   0.07217	   1.33100
    21	   0.68885	   0.71434	   0.06315	   1.33100
    22	   0.77114	   0.73265	   0.06186	   1.33100
    23	   0.82407	   0.73730	   0.12319	   1.40372
    24	   0.73207	   0.72530	   0.02034	   1.35771
    25	   0.80009	   0.72688	   0.07049	   2.06195
    26	   0.63505	   0.71264	   0.00312	   1.33100
    27	   0.64402	   0.71264	   0.01665	   1.33100
    28	   0.82538	   0.72912	   0.10865	   1.97369
    29	   0.60631	   0.71209	   0.00261	   1.33100
    30	   0.90249	   0.74537	   0.10708	   2.33060
    31	   0.65300	   0.71887	   0.02957	   1.33100
    32	   0.71493	   0.72530	   0.03079	   1.33100
    33	   0.87716	   0.74461	   0.04905	   2.05724
    34	   0.89923	   0.74537	   0.03079	   1.70983
    35	   0.65624	   0.71652	   0.03053	   1.33100
    36	   0.90253	   0.74537	   0.03079	   3.07679
    37	   0.68884	   0.71887	   0.02089	   1.54139
    38	   1.00723	   0.74692	   0.13341	   2.33060
    39	   0.63326	   0.71209	   0.03079	   1.33100
    40	   0.70719	   0.72264	   0.09149	   1.35771
    41	   0.68961	   0.71264	   0.15972	   1.35771
    42	   0.75665	   0.72688	   0.01665	   1.62996
    43	   0.65308	   0.71652	   0.03680	   1.35771
    44	   0.85541	   0.74596	   0.16145	   2.10647
