sample	cross	chrom	tract_start_min	tract_start_mid	tract_start_max	tract_stop_min	tract_stop_mid	tract_stop_max	tract_length_min	tract_length_mid	tract_length_max	tract_support	tract_is_complex	tract_blocks	co_pos_mid	co_pos_min	co_pos_max	co_pos_range	tract_type
1BB5/PG0023-C/ERR015449	hb3_dd2	b'Pf3D7_02_v3'	551191	551710	552230	553769	554132	554496	1539	2422	3305	5	False	1					NCO
1BB5/PG0023-C/ERR015449	hb3_dd2	b'Pf3D7_08_v3'	1293542	1294381	1295221	1296788	1297035	1297283	1567	2654	3741	4	False	1					NCO
1BB5/PG0023-C/ERR015449	hb3_dd2	b'Pf3D7_08_v3'	1337134	1337350	1337567	1346702	1347132	1347563	9135	9782	10429	24	True	8	1342348	1337134	1347563	10429	CO
1BB5/PG0023-C/ERR015449	hb3_dd2	b'Pf3D7_09_v3'	950476	951138	951801	954256	954735	955215	2455	3597	4739	4	True	3					NCO
1BB5/PG0023-C/ERR015449	hb3_dd2	b'Pf3D7_12_v3'	331487	331820	332154	336886	337497	338108	4732	5677	6621	7	False	1					NCO
1BB5/PG0023-C/ERR015449	hb3_dd2	b'Pf3D7_13_v3'	756601	756957	757313	760183	761269	762355	2870	4312	5754	9	False	1					NCO
1BB5/PG0023-C/ERR015449	hb3_dd2	b'Pf3D7_14_v3'	2805504	2805613	2805722	2810607	2811365	2812124	4885	5752	6620	8	False	1					NCO
3BA6/PG0022-Cx/ERR126027	hb3_dd2	b'Pf3D7_02_v3'	210982	211814	212646	212888	213843	214799	242	2029	3817	2	False	1					NCO
3BA6/PG0022-Cx/ERR126027	hb3_dd2	b'Pf3D7_06_v3'	421045	421183	421322	422382	423894	425407	1060	2711	4362	5	False	1					NCO
3BA6/PG0022-Cx/ERR126027	hb3_dd2	b'Pf3D7_07_v3'	302282	303041	303801	304287	304805	305324	486	1764	3042	4	False	1					NCO
3BA6/PG0022-Cx/ERR126027	hb3_dd2	b'Pf3D7_07_v3'	735180	735268	735356	736978	737199	737421	1622	1931	2241	4	False	1					NCO
3BA6/PG0022-Cx/ERR126027	hb3_dd2	b'Pf3D7_12_v3'	1246505	1247448	1248391	1249959	1250671	1251384	1568	3223	4879	3	False	1					NCO
3BA6/PG0022-Cx/ERR126027	hb3_dd2	b'Pf3D7_14_v3'	334268	334622	334976	336220	336481	336742	1244	1859	2474	2	False	1					NCO
3BD5/PG0024-C/ERR019053	hb3_dd2	b'Pf3D7_03_v3'	912649	912727	912805	916518	916794	917070	3713	4067	4421	8	True	2	914859	912649	917070	4421	CO
3BD5/PG0024-C/ERR019053	hb3_dd2	b'Pf3D7_04_v3'	729031	729218	729405	733911	734356	734801	4506	5138	5770	7	True	2	731916	729031	734801	5770	CO
3BD5/PG0024-C/ERR019053	hb3_dd2	b'Pf3D7_10_v3'	225428	226716	228004	229437	229802	230167	1433	3086	4739	3	True	2	227797	225428	230167	4739	CO
3BD5/PG0024-C/ERR019053	hb3_dd2	b'Pf3D7_10_v3'	1292979	1293721	1294464	1295562	1295700	1295838	1098	1979	2859	3	False	1					NCO
3BD5/PG0024-C/ERR019053	hb3_dd2	b'Pf3D7_10_v3'	1308754	1309392	1310031	1330511	1330807	1331104	20480	21415	22350	39	True	3					NCO
3BD5/PG0024-C/ERR019053	hb3_dd2	b'Pf3D7_10_v3'	1341344	1342132	1342921	1361560	1361995	1362430	18639	19863	21086	32	True	6	1351887	1341344	1362430	21086	CO
3BD5/PG0024-C/ERR019053	hb3_dd2	b'Pf3D7_12_v3'	1829123	1830339	1831556	1833118	1833298	1833478	1562	2959	4355	3	False	1					NCO
7C101/PG0074-C/ERR019048	hb3_dd2	b'Pf3D7_06_v3'	1055103	1055480	1055857	1058850	1059069	1059289	2993	3589	4186	8	True	5					NCO
7C101/PG0074-C/ERR019048	hb3_dd2	b'Pf3D7_13_v3'	1260539	1260600	1260661	1261062	1261144	1261227	401	544	688	3	True	3					NCO
7C101/PG0074-C/ERR019048	hb3_dd2	b'Pf3D7_14_v3'	1041080	1041495	1041911	1043720	1044602	1045484	1809	3107	4404	5	False	1					NCO
7C111/PG0038-C/ERR015457	hb3_dd2	b'Pf3D7_03_v3'	519657	520110	520563	520764	521834	522905	201	1724	3248	2	False	1					NCO
