Loci	Mean_rho	Median	L95	U95
     0	1061.96052	1078.68428	 480.34530	1188.54118
     1	   0.75640	   0.89606	   0.02230	   1.09192
     2	   0.72328	   0.89606	   0.03854	   1.09192
     3	   0.79889	   0.90377	   0.10898	   1.18786
     4	   0.78126	   0.90428	   0.03356	   1.13454
     5	   0.89838	   0.92105	   0.09412	   1.96278
     6	   1.00144	   0.93398	   0.17199	   2.61970
     7	   0.77500	   0.90428	   0.04134	   1.25176
     8	   0.98925	   0.92957	   0.11330	   2.26633
     9	   1.11046	   0.94269	   0.33843	   2.52603
    10	   0.87696	   0.91543	   0.04624	   1.46544
    11	   1.09584	   0.94689	   0.21220	   2.99730
    12	   1.06325	   0.92746	   0.11381	   2.87865
    13	   0.81466	   0.90428	   0.05466	   1.40383
    14	   0.84033	   0.91543	   0.06705	   1.56248
    15	   0.73304	   0.89606	   0.01392	   1.09192
    16	   0.93834	   0.92105	   0.15380	   1.56654
    17	   1.02892	   0.94211	   0.15242	   1.83994
    18	   0.97462	   0.93398	   0.22474	   1.90939
    19	   0.86939	   0.92421	   0.06842	   1.30662
    20	   0.73888	   0.90245	   0.02560	   1.13454
    21	   0.78319	   0.90236	   0.04691	   1.13454
    22	   0.93472	   0.92957	   0.29079	   1.49278
    23	   1.16321	   0.94208	   0.06624	   3.57776
    24	   0.89125	   0.92105	   0.15442	   1.35650
    25	   0.86817	   0.91560	   0.06753	   1.65356
    26	   0.83617	   0.90377	   0.22432	   1.18133
    27	   0.83244	   0.91998	   0.05566	   1.35245
    28	   0.91019	   0.91998	   0.33503	   1.74320
    29	   0.70860	   0.89606	   0.01320	   1.09192
    30	   0.85662	   0.91560	   0.12489	   1.25392
    31	   0.93679	   0.92303	   0.16456	   2.36866
    32	   1.02112	   0.93398	   0.32758	   2.54433
    33	   1.17647	   0.92746	   0.19965	   3.75892
    34	   0.74947	   0.89606	   0.06791	   1.09192
    35	   1.05886	   0.94689	   0.16622	   1.92733
    36	   1.49706	   0.94208	   0.01860	   6.72807
    37	   1.89216	   0.95910	   0.08177	   7.97362
    38	   2.34952	   0.96665	   0.02947	   8.66449
    39	   2.24184	   0.95910	   0.04624	   8.66449
    40	   2.75007	   1.05630	   0.18649	   8.73418
    41	   2.59499	   0.96827	   0.35290	   8.73446
    42	   2.81807	   0.98570	   0.03050	   8.73446
    43	   3.34390	   1.05630	   0.02876	   9.10588
    44	   2.36429	   0.96057	   0.08425	   8.73418
    45	   1.87513	   0.92957	   0.02466	   8.43575
    46	   1.89548	   0.92746	   0.05467	   8.43575
    47	   1.91525	   0.94127	   0.02385	   8.43575
    48	   1.89784	   0.94211	   0.27341	   7.97362
    49	   1.44197	   0.93398	   0.28608	   4.57487
    50	   1.10283	   0.89606	   0.04490	   3.68591
    51	   1.10114	   0.88049	   0.20798	   4.56262
    52	   0.79949	   0.83170	   0.04073	   1.88908
    53	   0.88280	   0.88571	   0.11792	   1.91986
    54	   1.07638	   0.88571	   0.24433	   3.97214
    55	   0.75395	   0.80584	   0.04624	   1.57778
    56	   0.65058	   0.74051	   0.05603	   1.00115
    57	   0.64331	   0.74051	   0.03886	   1.00115
    58	   0.67439	   0.74051	   0.05103	   1.00115
    59	   0.86622	   0.86510	   0.30626	   1.65824
    60	   0.72310	   0.76569	   0.06731	   1.02363
    61	   0.93575	   0.88049	   0.28102	   2.20517
    62	   0.66368	   0.74051	   0.01503	   1.00115
    63	   0.67163	   0.76146	   0.01620	   1.02049
    64	   0.70683	   0.76569	   0.05519	   1.02049
    65	   0.69403	   0.76146	   0.01527	   1.04751
    66	   0.63789	   0.74051	   0.00588	   1.00115
    67	   0.85139	   0.87459	   0.01139	   1.75246
    68	   0.80054	   0.81849	   0.20693	   1.05630
    69	   1.15580	   0.90245	   0.14296	   3.46546
    70	   0.84831	   0.87459	   0.23244	   1.59046
    71	   0.85170	   0.86566	   0.18796	   1.89917
    72	   0.77340	   0.79970	   0.05577	   1.50446
    73	   0.79158	   0.83224	   0.07941	   1.49244
    74	   0.84058	   0.87459	   0.31348	   1.50446
    75	   1.40667	   0.91998	   0.58803	   4.93938
    76	   0.88377	   0.87459	   0.45322	   1.78146
    77	   0.74380	   0.76189	   0.04998	   1.05630
    78	   0.73702	   0.77177	   0.02134	   1.11580
    79	   0.68075	   0.74953	   0.07094	   1.01932
    80	   0.76329	   0.79970	   0.05028	   1.63359
    81	   0.76560	   0.76569	   0.11060	   1.06891
    82	   0.69644	   0.74953	   0.06645	   1.00115
    83	   0.78854	   0.79970	   0.06460	   1.88633
    84	   0.84590	   0.82217	   0.11211	   1.33856
    85	   0.66747	   0.74903	   0.04624	   1.02049
    86	   0.80549	   0.86510	   0.07009	   1.49808
    87	   0.77788	   0.77177	   0.13268	   1.02643
    88	   1.04738	   0.88450	   0.02986	   3.88293
    89	   0.77231	   0.78250	   0.05754	   1.05630
    90	   0.65465	   0.74953	   0.02469	   1.02049
    91	   0.79181	   0.86566	   0.05883	   1.31425
    92	   0.86745	   0.87903	   0.24223	   1.65203
    93	   0.76323	   0.77177	   0.11700	   1.18954
    94	   0.84334	   0.86162	   0.26059	   1.68264
    95	   0.88850	   0.88049	   0.34273	   1.71227
    96	   0.73236	   0.79970	   0.01050	   1.04585
    97	   0.75344	   0.76569	   0.06772	   1.02643
    98	   0.83452	   0.84741	   0.25749	   1.54290
    99	   0.67996	   0.74051	   0.10745	   1.00115
   100	   0.71247	   0.76569	   0.00886	   1.35308
   101	   0.75181	   0.74953	   0.17383	   1.02049
   102	   0.74093	   0.82217	   0.04397	   1.05630
   103	   0.77431	   0.86510	   0.09980	   1.05692
   104	   0.65116	   0.74903	   0.03150	   1.00115
   105	   0.93501	   0.88450	   0.11713	   1.89268
   106	   0.81222	   0.79970	   0.19740	   1.05630
   107	   0.74241	   0.76146	   0.09788	   1.05630
   108	   0.62659	   0.74051	   0.00629	   1.00115
   109	   0.87632	   0.88450	   0.08269	   1.96278
   110	   0.64958	   0.74051	   0.03342	   1.00115
   111	   0.90519	   0.86510	   0.28429	   1.65010
   112	   0.89676	   0.88049	   0.22086	   1.78079
   113	   1.03427	   0.88764	   0.46378	   3.04103
   114	   0.64167	   0.74903	   0.02128	   1.00115
   115	   0.68004	   0.76569	   0.00717	   1.00115
   116	   1.14331	   0.88571	   0.11931	   3.96534
   117	   0.75201	   0.81238	   0.02412	   1.02643
   118	   0.83207	   0.86566	   0.04624	   1.79417
   119	   0.87728	   0.87459	   0.21068	   1.55852
   120	   0.74482	   0.76569	   0.05393	   1.88093
   121	   0.87292	   0.88049	   0.10945	   2.20811
   122	   0.63470	   0.74903	   0.00231	   1.00115
   123	   0.80434	   0.86510	   0.05403	   1.40180
   124	   0.92074	   0.87903	   0.02973	   2.51905
   125	   0.70652	   0.74953	   0.07803	   1.02643
   126	   0.90597	   0.86510	   0.04624	   2.17514
   127	   0.90573	   0.88049	   0.15098	   2.69238
   128	   0.86954	   0.86566	   0.17205	   2.02007
   129	   0.70662	   0.73764	   0.05904	   1.02643
   130	   0.63916	   0.65354	   0.13502	   1.95616
   131	   0.42218	   0.19378	   0.05014	   0.98054
   132	   0.40696	   0.19699	   0.04287	   1.00115
   133	   0.48050	   0.19699	   0.09241	   1.96917
   134	   0.22283	   0.17907	   0.01140	   0.72804
   135	   0.33611	   0.19559	   0.14985	   0.98943
   136	   0.21430	   0.17887	   0.00975	   0.62893
   137	   0.22084	   0.17918	   0.06947	   0.73935
   138	   0.16800	   0.17374	   0.03557	   0.22525
   139	   0.27382	   0.18288	   0.03546	   1.17301
