Loci	Mean_rho	Median	L95	U95
     0	1252.77209	1250.15584	1172.58146	1311.91066
     1	   0.71120	   0.55465	   0.35980	   1.21696
     2	   0.86511	   0.58626	   0.35980	   1.60458
     3	   0.58079	   0.55465	   0.06302	   0.82284
     4	   0.76561	   0.58626	   0.35980	   1.21696
     5	   0.62461	   0.55465	   0.35980	   0.82284
     6	   0.71363	   0.56580	   0.35980	   1.21696
     7	   0.89944	   0.58626	   0.35980	   1.21696
     8	   0.66335	   0.58626	   0.35980	   0.82284
     9	   0.56551	   0.49160	   0.22689	   0.82284
    10	   0.86083	   0.55465	   0.10490	   1.21696
    11	   0.55124	   0.49160	   0.09330	   0.82284
    12	   0.65222	   0.55465	   0.35980	   0.85797
    13	   0.56769	   0.49160	   0.07015	   0.82284
    14	   0.54098	   0.49160	   0.09569	   0.82284
    15	   0.91404	   0.55465	   0.29143	   1.21696
    16	   0.64590	   0.55465	   0.08984	   1.18805
    17	   0.59951	   0.49160	   0.35980	   0.82284
    18	   0.60057	   0.55465	   0.12288	   0.82284
    19	   2.09421	   0.82284	   0.35980	   5.11016
    20	   3.58235	   0.96069	   0.27881	   8.01311
    21	   4.80889	   5.11016	   0.03453	   8.01311
    22	   5.71281	   6.54291	   0.85683	   8.01311
    23	   6.12392	   6.74042	   0.18948	   8.01311
    24	   6.26679	   6.74042	   0.72888	   8.01311
    25	   6.42605	   6.74042	   1.28365	   8.01311
    26	   6.32179	   6.74042	   0.28724	   8.01311
    27	   6.11265	   6.74042	   0.14970	   8.01311
    28	   6.11188	   6.74042	   0.00936	   8.01311
    29	   6.38371	   6.74042	   0.93120	   8.01311
    30	   6.32411	   6.74042	   0.62601	   8.01311
    31	   6.24592	   6.74042	   0.31269	   8.01311
    32	   8.19421	   7.58416	   5.11016	  11.53959
    33	   6.09724	   6.74042	   0.08934	   8.01311
    34	   4.80315	   5.11016	   0.03227	   8.01311
    35	   3.02942	   0.61046	   0.25579	   7.56274
    36	   0.96476	   0.61364	   0.57752	   0.74468
    37	   0.94260	   0.61364	   0.57752	   0.70186
    38	   0.64160	   0.61046	   0.22584	   0.63054
    39	   0.50443	   0.60032	   0.05894	   0.62332
    40	   0.62897	   0.61046	   0.17023	   0.63054
    41	   0.66056	   0.61364	   0.57752	   0.63054
    42	   0.58667	   0.60032	   0.46442	   0.62332
    43	   0.49074	   0.60032	   0.02272	   0.62332
    44	   0.58806	   0.61046	   0.39738	   0.62986
    45	   0.60787	   0.61046	   0.26029	   0.63054
    46	   0.51863	   0.60032	   0.08059	   0.62332
    47	   0.71340	   0.61364	   0.57752	   0.68074
    48	   0.69816	   0.61046	   0.20838	   0.63054
    49	   0.56204	   0.61046	   0.07511	   0.63054
    50	   0.60075	   0.61046	   0.06004	   0.63054
    51	   0.51343	   0.60032	   0.02373	   0.62332
    52	   0.55389	   0.60822	   0.07733	   0.62332
    53	   0.80538	   0.61364	   0.57752	   0.90585
    54	   0.50907	   0.60032	   0.02028	   0.62332
    55	   0.52029	   0.60032	   0.02518	   0.62332
    56	   0.55462	   0.60032	   0.11905	   0.62332
    57	   0.53621	   0.60032	   0.10448	   0.62332
    58	   0.63125	   0.61046	   0.13183	   0.63054
    59	   0.87840	   0.61046	   0.44790	   0.63054
    60	   0.71285	   0.61364	   0.57752	   0.72820
    61	   0.52522	   0.60032	   0.13525	   0.62332
    62	   0.65325	   0.61364	   0.57752	   0.74207
    63	   0.50081	   0.60032	   0.00267	   0.62332
    64	   0.66890	   0.61046	   0.35519	   0.63054
    65	   0.70778	   0.61364	   0.57752	   1.04755
    66	   0.58527	   0.60032	   0.40674	   0.62332
    67	   0.76888	   0.61364	   0.57752	   1.26995
    68	   0.76944	   0.61364	   0.57752	   0.76038
    69	   0.66992	   0.61364	   0.57752	   0.78688
    70	   0.67423	   0.61364	   0.57752	   0.70618
    71	   0.69945	   0.61046	   0.57113	   0.63054
    72	   1.12596	   0.61046	   0.57259	   0.63054
