Individual	Chromosome	Depth
PH0502-C chr01 20.5344
PH0508-C chr01 28.8039
PH0517-C chr01 35.4354
PH0640-C chr01 34.8932
PH0644-C chr01 22.635
PH0727-C chr01 21.407
PH0737-C chr01 23.2077
PH0754-C chr01 12.7392
PH0790-C chr01 11.4864
PH0807-C chr01 7.64078
PH0879-C chr01 56.7895
PV0254-C chr01 38.1097
PV0265-C chr01 18.7936
PV0287-C chr01 24.8093
PV0296-C chr01 25.4202
PV0311-C chr01 70.5335
PV0333-C chr01 65.4087
PH0502-C chr02 22.9629
PH0508-C chr02 32.5169
PH0517-C chr02 38.8296
PH0640-C chr02 37.9369
PH0644-C chr02 25.4598
PH0727-C chr02 25.2877
PH0737-C chr02 24.6403
PH0754-C chr02 14.4597
PH0790-C chr02 13.4036
PH0807-C chr02 8.75315
PH0879-C chr02 59.9109
PV0254-C chr02 41.8334
PV0265-C chr02 21.6878
PV0287-C chr02 23.9095
PV0296-C chr02 27.2972
PV0311-C chr02 75.2551
PV0333-C chr02 68.7663
PH0502-C chr03 22.9845
PH0508-C chr03 32.376
PH0517-C chr03 41.2976
PH0640-C chr03 38.8515
PH0644-C chr03 26.5626
PH0727-C chr03 25.969
PH0737-C chr03 24.4741
PH0754-C chr03 15.009
PH0790-C chr03 13.5041
PH0807-C chr03 8.81799
PH0879-C chr03 63.1963
PV0254-C chr03 45.1812
PV0265-C chr03 22.0722
PV0287-C chr03 23.7477
PV0296-C chr03 27.9364
PV0311-C chr03 79.6212
PV0333-C chr03 71.7936
PH0502-C chr04 21.8476
PH0508-C chr04 30.637
PH0517-C chr04 39.4164
PH0640-C chr04 38.0136
PH0644-C chr04 24.9143
PH0727-C chr04 22.8385
PH0737-C chr04 24.4686
PH0754-C chr04 13.8748
PH0790-C chr04 12.8865
PH0807-C chr04 8.25131
PH0879-C chr04 60.8544
PV0254-C chr04 42.2761
PV0265-C chr04 20.3833
PV0287-C chr04 32.612
PV0296-C chr04 26.3629
PV0311-C chr04 75.1691
PV0333-C chr04 68.9506
PH0502-C chr05 24.7136
PH0508-C chr05 34.5523
PH0517-C chr05 42.4403
PH0640-C chr05 41.1254
PH0644-C chr05 27.7801
PH0727-C chr05 27.3442
PH0737-C chr05 26.8304
PH0754-C chr05 15.9149
PH0790-C chr05 14.3728
PH0807-C chr05 9.41848
PH0879-C chr05 64.1324
PV0254-C chr05 44.8571
PV0265-C chr05 23.811
PV0287-C chr05 22.1755
PV0296-C chr05 29.1394
PV0311-C chr05 79.2449
PV0333-C chr05 72.1133
PH0502-C chr06 22.9223
PH0508-C chr06 31.8298
PH0517-C chr06 40.2462
PH0640-C chr06 38.7218
PH0644-C chr06 26.0915
PH0727-C chr06 25.4837
PH0737-C chr06 24.0608
PH0754-C chr06 14.5535
PH0790-C chr06 13.2709
PH0807-C chr06 8.65235
PH0879-C chr06 60.0279
PV0254-C chr06 42.8841
PV0265-C chr06 21.8553
PV0287-C chr06 21.8891
PV0296-C chr06 26.6289
PV0311-C chr06 77.8502
PV0333-C chr06 69.5327
PH0502-C chr07 23.4969
PH0508-C chr07 32.6585
PH0517-C chr07 40.9863
PH0640-C chr07 39.2584
PH0644-C chr07 26.1402
PH0727-C chr07 25.632
PH0737-C chr07 26.0447
PH0754-C chr07 14.8787
PH0790-C chr07 13.64
PH0807-C chr07 8.96559
PH0879-C chr07 63.8191
PV0254-C chr07 44.2888
PV0265-C chr07 22.3434
PV0287-C chr07 28.6523
PV0296-C chr07 28.5916
PV0311-C chr07 80.6483
PV0333-C chr07 72.5893
PH0502-C chr08 24.0217
PH0508-C chr08 33.2523
PH0517-C chr08 41.4653
PH0640-C chr08 39.9315
PH0644-C chr08 27.0186
PH0727-C chr08 26.4666
PH0737-C chr08 26.3112
PH0754-C chr08 15.1698
PH0790-C chr08 13.564
PH0807-C chr08 8.94594
PH0879-C chr08 62.2763
PV0254-C chr08 43.397
PV0265-C chr08 22.332
PV0287-C chr08 26.1809
PV0296-C chr08 27.0281
PV0311-C chr08 78.3978
PV0333-C chr08 69.4688
PH0502-C chr09 23.3396
PH0508-C chr09 32.4399
PH0517-C chr09 39.964
PH0640-C chr09 39.0166
PH0644-C chr09 25.7898
PH0727-C chr09 27.7818
PH0737-C chr09 25.2463
PH0754-C chr09 14.5789
PH0790-C chr09 13.2342
PH0807-C chr09 8.79858
PH0879-C chr09 58.5565
